,MOVIES,RATING,PLOT,VOTES,RunTime,Gross,MOVIE ID,is_tv_movie,is_tv_special,is_tv_short,is_video_game
36,Titans,7.7,A team of young superheroes combat evil and other perils.,"73,656",45.0,,6192,0,0,0,0
37,The Witcher,8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","336,484",60.0,,6107,0,0,0,0
38,Downton Abbey,8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"171,804",58.0,,1877,0,0,0,0
39,Shingeki no kyojin,9.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","242,582",24.0,,4985,0,0,0,0
40,Suits,8.4,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","374,263",44.0,,5265,0,0,0,0
41,La casa de papel,8.3,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"341,858",70.0,,3350,0,0,0,0
42,Schitt's Creek,8.5,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","90,728",22.0,,4852,0,0,0,0
43,Outlander,8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"134,991",64.0,,4308,0,0,0,0
44,The Last Kingdom,8.4,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","94,650",60.0,,5789,0,0,0,0
45,Black Mirror,8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","469,407",60.0,,1120,0,0,0,0
46,Ozark,8.4,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","206,090",60.0,,4315,0,0,0,0
47,The Crown,8.6,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"169,517",58.0,,5561,0,0,0,0
48,Sweet Tooth,7.9,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,"37,142",,,5326,0,0,0,0
49,Army of the Dead,5.8,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","132,378",148.0,,839,0,0,0,0
50,Fargo,8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","341,221",53.0,,2127,0,0,0,0
51,How I Met Your Mother,8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"624,036",22.0,,2781,0,0,0,0
52,Community,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"231,013",22.0,,1518,0,0,0,0
53,Sons of Anarchy,8.5,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"270,445",45.0,,5121,0,0,0,0
54,StartUp,7.9,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","22,971",44.0,,5204,0,0,0,0
55,The Vampire Diaries,7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","293,434",43.0,,6074,0,0,0,0
56,365 dni,3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","63,620",114.0,,476,0,0,0,0
57,How to Sell Drugs Online (Fast),7.9,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","23,960",30.0,,2791,0,0,0,0
58,Good Girls,7.8,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,"38,618",43.0,,2447,0,0,0,0
59,13 Reasons Why,7.6,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","266,386",60.0,,442,0,0,0,0
60,The Queen's Gambit,8.6,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","336,801",395.0,,5946,0,0,0,0
